Evidence ID,Country,Product scope,Evidence type,Claim,URL,Publisher,Access date,Reliability,Limitations,Score use
P4-TZ-02,Tanzania,Lifan tricycle/motorcycle/spares,Dealer directory,"Guta Trading listing describes Lifan tricycle, motorcycle and spares distribution",https://www.transplo.com/TZ/Dar-es-Salaam/100291128040937/Guta-Trading-Tanzania-Limited,Transplo business directory,2026-07-16,Medium,Directory listing; verify direct channel relationship,Channel
P4-TZ-03,Tanzania,Zongshen dealer,Dealer directory,Kazzar listed as Zongshen motorcycle dealer,https://www.tanzapages.com/company/11750/Kazzar_Zongshen_Motorcycle_Dealers,TanzaPages,2026-07-16,Low,Directory listing; no engine sales proof,Channel
P4-TZ-04,Tanzania,250 water-cooled cargo tricycle,Vehicle listing,Tanzania-targeted cargo tricycle listing specifies 250 cc water cooling,https://www.cargo-tricycle-motorcycle.com/Front/Wz/Goods/detail?id=7847,Supplier listing,2026-07-16,Low,Single vehicle listing; not engine-only demand/fit,Vehicle platform
P4-TZ-05,Tanzania,Motorcycle/parts,Local directory/social listing,Sinoray Tanzania listing says it imports motorcycles and sells parts,https://www.autoyas.com/TZ/Dar-es-Salaam/103596658397276/Sinoray-motorcycle-Tz,AutoYas,2026-07-16,Low,Directory/social listing; verify,Parts/channel
P4-RU-01,Russia,YX140 / 1P56FMJ,Complete-engine retailer,Retailer lists 140 cc YX140/1P56FMJ engine for pit bike,https://ros-inst.ru/product/33Gp7Dlk0UK2akePHY7BWA/,Russian Instrument,2026-07-16,Medium,Retail listing; no national demand,Platform/search proxy
P4-RU-02,Russia,YX140 / 1P56FMJ,Complete-engine retailer,Rolling Moto lists complete YX 1P56FMJ 140 engine,https://www.rollingmoto.ru/product/dvigatel-v-sbore-yx-1p56fmj-w063-140sm3-kikstarter_80019/,Rolling Moto,2026-07-16,Medium,Retail listing only,Platform/search proxy
P4-RU-03,Russia,YX140 / 1P56FMJ,Retailer,Motosokolniki lists YX140 1P56FMJ for pit bike,https://motosokolniki.ru/?product=dvig-yx140,Motosokolniki,2026-07-16,Medium,Retail listing only,Search proxy
P4-RU-04,Russia,152FMI 125,Complete-engine retailer,Alpha/Delta/Orion 125 engine 152FMI observed,https://jawa-store.ru/products/motor-125-kub,Jawa Store,2026-07-16,Medium,Retail listing only,Platform/search proxy
P4-RU-05,Russia,139FMB/152FMI,Parts/engine retailer,Alpha 125 152FMI engine listing observed,https://universalmotors.ru/spares/moto-spares/engine/engines/sp680572594.html/,Universal Motors,2026-07-16,Medium,No fit inference,Platform/search proxy
P4-RU-06,Russia,139FMB/152FMI,Parts catalogue,Alpha/Delta engine parts catalogue observed,https://mopedmarket.ru/data/files/Katalog%20detaley%20Alpha%281%29.pdf,MopedMarket,2026-07-16,Medium,Parts only,Parts
P4-RU-07,Russia,125 semi-auto/reverse,Retailer,Semi-auto/reverse 125 listing observed,https://parts.wels.ru/catalog/zapchasti_dlya_kvadrotsiklov/kvadrotsikly_110_250ss_wels_motoland_avantis_yacota_i_td_/dvigateli_i_zapchasti_k_nim_1/dvigateli_v_sbore_3/6049/,Wels,2026-07-16,Low,Special configuration only,Technical nomenclature
P4-RU-08,Russia,YX140 pit bike,Technical manual,Manual associates YX140EM / 1P56FMJ with pit bike,https://sm-motors.ru/upload/iblock/c92/xa7egt7eyb5qi94gzr8e7mresg63fn3s.pdf,SM Motors,2026-07-16,Medium,"Platform manual, not demand",Technical nomenclature
P4-CO-01,Colombia,AKT parts,Official parts,AKT provides an official spare-parts route,https://aktmotos.com/repuestos/,AKT Motos,2026-07-16,High,Parts only,Channel/aftermarket
P4-CO-02,Colombia,AKT parts,Official catalogue,AKT publishes parts catalogues,https://aktmotos.com/catalogo-de-partes/,AKT Motos,2026-07-16,High,Parts only,Channel/aftermarket
P4-CO-03,Colombia,TVS parts,Official spare enquiry,TVS Colombia provides spare enquiry,https://colombia.tvsmotor.com/es/customer-enquiry/spare,TVS Colombia,2026-07-16,High,Indian platform excluded,Competitor/channel
P4-CO-04,Colombia,Hero parts,Official parts,Hero Colombia publishes parts/accessories support,https://heromotos.com.co/repuestos-aceites-accesorios/,Hero Colombia,2026-07-16,High,Indian platform excluded,Competitor/channel
P4-CO-05,Colombia,Motorcycle parts,Distributor,C.E.B describes a motorcycle-parts distribution business,https://ceb.com.co/nosotros/,C.E.B,2026-07-16,Medium,No complete-engine proof,Channel/aftermarket
P4-CO-06,Colombia,Motorcycle parts,Distributor,1000Partes presents multibrand OEM parts,https://www.1000partes.com/,1000Partes,2026-07-16,Medium,No complete-engine proof,Channel/aftermarket
P4-CO-07,Colombia,Cylinder parts,Importer/distributor,OrgPartes lists cylinder categories,https://orgpartes.com/product-category/cilindro/,OrgPartes,2026-07-16,Medium,Parts only,Channel/aftermarket
P4-CO-08,Colombia,Complete engines,Marketplace category,MercadoLibre exposes a complete-motor category,https://listado.mercadolibre.com.co/motor-completo-para-moto,MercadoLibre Colombia,2026-07-16,Low,Single marketplace signal; not national demand,Search proxy only
P4-CO-09,Colombia,CG125/150 parts,Marketplace listing,CG125/150 162FMJ cylinder kit observed,https://www.mercadolibre.com.co/kit-cilindro-para-honda-cg125-y-cg150-162fmj/up/MCOU4121228466,MercadoLibre Colombia,2026-07-16,Low,Parts listing only,Platform/search proxy
P4-CO-10,Colombia,AKT125/CG125 parts,Retail listing,Cassarella lists AKT125/CG125 cylinder kit,https://www.cassarella.com.co/es/kit-cilindro-completo-con-piston-cassarella-akt125sl-125nkd-125sport-125tt-cg125-bulon-15mm-piston-565mm-negro-490c-de-la-seccion-cassarella-de-motor-CP84539,Cassarella,2026-07-16,Medium,Parts only,Platform/search proxy
P4-CO-11,Colombia,CG150/CG200 parts,Price list,MotoFull price list includes CG150/CG200 starter terminology,https://www.motofull.com/formatos/Lista-De-Precio-Moto-Full.pdf,MotoFull,2026-07-16,Medium,Parts only,Platform/search proxy
P4-CO-12,Colombia,Tuk-Tuk,Official manual,AKT publishes a Tuk-Tuk owner/warranty manual,https://www.aktmotos.com/sites/default/files/2025-09/Manual%20de%20usuario-garantia%20Tuk-Tuk.pdf,AKT Motos,2026-07-16,High,Vehicle context only,Vehicle/application
P4-CO-13,Colombia,NKD125,Official parts catalogue,AKT publishes NKD125 parts catalogue,https://www.aktmotos.com/sites/default/files/parts_catalog/pdf/NKD125%20-2024.pdf,AKT Motos,2026-07-16,High,Parts/platform only,Platform/aftermarket
P4-CO-14,Colombia,Motorcycle market,Industry study,Industry study documents Colombian motorcycle ecosystem,https://www.incolmotos-yamaha.com.co/distribuidor/wp-content/uploads/2024/09/Estudio-Las-Motocicletas-en-Colombia-Aliadas-del-desarrollo-del-pais-V17-Final-Design-Lowered-case.pdf_compressed.pdf,Incolmotos Yamaha,2026-07-16,High,Market context does not prove engine demand,Market context
P4-CO-15,Colombia,CG150 parts,Marketplace category,CG150 complete-head category observed,https://listado.mercadolibre.com.co/culata-completa-cg-150,MercadoLibre Colombia,2026-07-16,Low,Parts category only,Platform/search proxy
