"spec_id","record_scope","family","model_code","marketing_name","aliases","configuration","nominal_displacement_cc","actual_displacement_cc","bore_mm","stroke_mm","cooling","start_method","clutch","gear_pattern","reverse_configuration","ignition","applications","fit_limitations","oem_options","current_website_values","candidate_master_values","evidence_status","approval_status","visibility","evidence_sources","conflict_summary","affected_pages","review_owner_role","approved_by","approved_date","last_verified","notes"
"model-cb150","MODEL","CB engine","CB150","CB150","","Single-cylinder, 4-stroke, air-cooled, camshaft upward","150","149","","","Air-cooled","Electric / kick","Manual wet multi-plate","5-speed constant mesh","Not established","","Street and off-road motorcycles subject to configuration","Confirm bore, stroke, mounting, camshaft configuration, electrical system and vehicle fit.","Family page states OEM/ODM is available; model-specific options not approved","en/cb-engine=CB150; 149ml; air-cooled; electric/kick; manual wet multi-plate; 5-speed","model=CB150; family=CB engine; configuration=Single-cylinder, 4-stroke, air-cooled, camshaft upward; nominal=150cc; actual=149cc; cooling=Air-cooled; start=Electric / kick; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cb-engine | repo:en/cb-engine.html | owner-confirmation:2026-07-29","网页没有缸径行程、点火或型号级适配资料。","https://chixiangmotor.com/en/cb-engine | https://chixiangmotor.com/ru/russia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cb200-c","MODEL","CB engine","CB200-C","CB200-C","","Single-cylinder, 4-stroke, air-cooled, camshaft upward","200","197","","","Air-cooled","Electric / kick","Manual wet multi-plate","5-speed constant mesh","Not established","","Street and off-road motorcycles subject to configuration","Confirm bore, stroke, mounting, camshaft configuration, electrical system and vehicle fit.","Family page states OEM/ODM is available; model-specific options not approved","en/cb-engine=CB200-C; 197ml; air-cooled; electric/kick; manual wet multi-plate; 5-speed","model=CB200-C; family=CB engine; configuration=Single-cylinder, 4-stroke, air-cooled, camshaft upward; nominal=200cc; actual=197cc; cooling=Air-cooled; start=Electric / kick; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cb-engine | repo:en/cb-engine.html | owner-confirmation:2026-07-29","网页没有缸径行程、点火或型号级适配资料。","https://chixiangmotor.com/en/cb-engine | https://chixiangmotor.com/ru/russia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cb250","MODEL","CB engine","CB250","CB250","","Single-cylinder, 4-stroke, air-cooled, camshaft upward","250","223","","","Air-cooled","Electric / kick","Manual wet multi-plate","5-speed constant mesh","Not established","","Street and off-road motorcycles subject to configuration","Confirm whether CB250 marketing name refers to the 223ml configuration and verify all interfaces.","Family page states OEM/ODM is available; model-specific options not approved","en/cb-engine=CB250; 223ml; air-cooled; electric/kick; manual wet multi-plate; 5-speed","model=CB250; family=CB engine; configuration=Single-cylinder, 4-stroke, air-cooled, camshaft upward; nominal=250cc; actual=223cc; cooling=Air-cooled; start=Electric / kick; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cb-engine | repo:en/cb-engine.html | owner-confirmation:2026-07-29","CB250营销名与223ml实际排量需工厂确认口径；网页没有缸径行程和点火资料。","https://chixiangmotor.com/en/cb-engine | https://chixiangmotor.com/ru/russia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-152fmh","MODEL","Horizontal air-cooled","152FMH","152FMH horizontal engine","CX152FMH-5B | CX152FMH-6","English page: air-cooled inclined horizontal 10°, OHC; Russian page: horizontal air-cooled","","","","","Air-cooled","English: electric/kick; Russian: upper or lower starter","Automatic wet multi-plate","4-speed constant mesh","Not established","English page: CDI / AC ignition","Mopeds | light ATV; named-platform examples require fit confirmation","Confirm exact code-to-displacement mapping, starter position, mounting, connectors, clutch and vehicle interfaces.","Packaging and distributor batch requirements discussed at landing-page level","ru landing=152FMH 110cc; upper/lower starter; automatic clutch; 4 gears | en horizontal=110/CX152FMH-5B actual106.7cc 52.4×49.5; 125/CX152FMH-6 actual107cc 52.4×49.5; 130/CX152FMH-5B actual123.67cc 54×54","","CONFLICTING","PENDING_REVIEW","PUBLIC","https://chixiangmotor.com/en/horizontal-engine | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:en/horizontal-engine.html | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","英文表重复CX152FMH-5B并给出110/130两个营销排量；125/CX152FMH-6的实际排量写107；俄罗斯页把152FMH标为110cc。","https://chixiangmotor.com/en/horizontal-engine | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel","Factory Technical Management","","","2026-07-29","数值字段故意留空，避免在冲突未解决前选定一个值。 唯一审核人确认（2026-07-29）：暂不确定，继续保留冲突和空白数值。"
"model-153fmi","MODEL","Horizontal air-cooled","153FMI","153FMI horizontal engine","","Horizontal air-cooled","125","","","","Air-cooled","Upper starter / electric start","Manual or semi-automatic","4 gears","Not established","","Pit bikes | light enduro projects","Confirm actual displacement, bore/stroke, starter, clutch variant, mounting and electrical interfaces.","Packaging and distributor batch requirements discussed at landing-page level","ru landing=153FMI 125cc; upper/electric start; manual or semi-automatic clutch; 4 gears","model=153FMI; family=Horizontal air-cooled; configuration=Horizontal air-cooled; nominal=125cc; cooling=Air-cooled; start=Upper starter / electric start; clutch=Manual or semi-automatic; gears=4 gears; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","只有俄罗斯落地页营销规格，缺少工厂规格表和实际排量。","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/horizontal-engine","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-154fmi","MODEL","Horizontal air-cooled","154FMI","154FMI horizontal engine","","Horizontal air-cooled","125","","","","Air-cooled","Lower starter","Manual clutch","4 gears","Not established","","Pit bikes | ATV | assembly projects","Confirm actual displacement, bore/stroke, starter, mounting, clutch and electrical interfaces.","Packaging and distributor batch requirements discussed at landing-page level","ru landing=154FMI 125cc; lower starter; manual clutch; 4 gears","model=154FMI; family=Horizontal air-cooled; configuration=Horizontal air-cooled; nominal=125cc; cooling=Air-cooled; start=Lower starter; clutch=Manual clutch; gears=4 gears; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","只有俄罗斯落地页营销规格，缺少工厂规格表；不能根据154FMI代码反推排量。","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/horizontal-engine","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-1p56fmj","MODEL","Horizontal air-cooled","1P56FMJ","1P56FMJ horizontal engine","","Horizontal air-cooled","140","","","","Air-cooled","Kick or electric start","Manual or semi-automatic","4 gears","Not established","","Pit bikes | mini-enduro | ATV subject to fit confirmation","Confirm actual displacement, bore/stroke, starter, clutch, mounting and electrical interfaces; named platforms are orientation only.","Packaging and distributor batch requirements discussed at landing-page level","ru landing=1P56FMJ 140cc; kick/electric start; manual or semi-automatic clutch; 4 gears","model=1P56FMJ; family=Horizontal air-cooled; configuration=Horizontal air-cooled; nominal=140cc; cooling=Air-cooled; start=Kick or electric start; clutch=Manual or semi-automatic; gears=4 gears; reverse=Not established","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","只有俄罗斯落地页营销规格，缺少工厂规格表和实际排量。","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/horizontal-engine","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","不把YX140当作批准别名；页面只把它作为应用示例。 唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"intake-cg-balance-shaft","FAMILY","CG balance-shaft","","CG Balance Shaft Series","CG balancer","Single-cylinder, 4-stroke, natural air-cooled, vertical, balance shaft","","","","","Air-cooled","Electric / foot start","Manual wet multi-plate","International shift | cyclic/rotary shift | built-in reverse; depends on application and ordered configuration","Built-in reverse is a configuration option for ATV / beach-vehicle applications; not universal","","Motorcycles | work motorcycles | cargo tricycles | ATV / beach vehicles; exact fit depends on ordered configuration","Family-level positioning only. Do not infer model displacement, bore/stroke, output, mounting, lifetime or universal fit.","Configuration-dependent; confirm per order","en/cg-engine hidden table repeats CG125/CX156FMI, CG150/CX162FMJ, CG175/CX162FMK, CG200/CX163FML and CG250/CX167FMM with balance-shaft type; dimensions differ from standard air-cooled table","family=CG balance-shaft; configuration=balance shaft for motorcycle applications; benefit=helps reduce single-cylinder vibration and improve running smoothness; gear configurations=international shift generally for motorcycles | cyclic/rotary shift generally for cargo tricycles and work vehicles | built-in reverse generally for ATV and beach-vehicle applications; exact model and configuration must be confirmed per order; no quantified lifetime or universal-fit claim","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30 | industry-background:https://www.kawasaki.com/en-us/motorcycle/kx/full-size-cross-country/kx-327x | industry-background:https://saemobilus.sae.org/papers/balancing-optimization-a-motorcycle-engine-crankshaft-vibration-reduction-2016-01-1060","已解决家族级公开范围；现有隐藏型号表仍不能据此视为独立获批型号规格。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/products","Factory Technical Management","Site Owner","2026-07-30","2026-07-30","只批准家族定位、配置选择和非量化的平顺性收益。空白数值继续视为未知，不得补写型号级排量、缸径行程、输出、安装尺寸、寿命倍数或通用适配承诺。"
"intake-tsunami-water","FAMILY","Tsunami water-cooled","","Tsunami Series Water-Cooled Engine","Tsunami dual-cooling | 海啸系列","Strengthened CG water-cooled family with cooling fins and enlarged oil capacity","","","","","Water-cooled with air-assisted cooling fins","","","5-speed family claim","Not established at model level","","Commercial motorcycles | cargo tricycles | sustained high-load use; exact fit not verified","Family-level positioning only. Do not publish an exact oil volume, model performance, bore/stroke, output, mounting or universal-fit claim.","Not established","en/products=Tsunami 200–250cc dual cooling, high torque, 5-speed | noindex product-detail=CG200SB and CG250SB Tsunami; water + air dual cooling","family=Tsunami water-cooled; relationship=strengthened CG water-cooled family; configuration=added cooling fins and enlarged oil capacity; benefits=improved heat dissipation, structural durability, lubrication and sustained high-load stability; exact oil volume and model-level specifications not approved","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/product-detail?series=tsunami | repo:en/products.html | repo:en/product-detail.html | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30 | industry-background:https://pdf.dfcfw.com/pdf/H2_AN201203020004755919_1.pdf | industry-background:https://static.cninfo.com.cn/finalpage/2011-12-16/60330838.PDF","已确认其为CG水冷系列的强化版本；具体油量和型号级参数仍未获批。","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/cg-engine","Factory Technical Management","Site Owner","2026-07-30","2026-07-30","公开内容只能使用已确认的家族关系、散热鳍片、加大机油容量及非量化收益；不得填写具体机油容量或推断型号级参数。"
"intake-hanwei-hw-water","FAMILY","HW Water","","HW Water Series Heavy-Duty Water-Cooled Engine","Hanwei | CG Heavy | 捍威系列","Heavy-duty upgrade of the CG water-cooled platform; cooling fins and heavy-duty internal parts; family-level owner-confirmed configuration","","","","","Water-cooled with cooling fins","","20-roller clutch; standard across all HW models","All gears; exact pattern not stated","No built-in reverse","18级磁电机; standard across all HW models; owner-specified wording, English public wording=high-output magneto","Cargo tricycles | high-load continuous operation; exact fit not verified","Family-level positioning only. Confirm model-specific displacement, bore/stroke, mounting, output and performance values before publishing specifications.","Not established at model level","en/products=Hanwei 200/250/300/350cc; 20-roller clutch; 18-pole magneto; 1.5L oil; all gears plus built-in reverse | latam HW=HW200/HW250/HW300/HW350; reverse according to model | central-asia CG Heavy=200–350cc; no built-in reverse","family=HW Water; aliases=Hanwei | CG Heavy | 捍威系列; configuration=heavy-duty upgrade of CG water-cooled with cooling fins and heavy-duty internal parts; cooling=Water-cooled with cooling fins; oil capacity=1.5 L across all HW models; clutch=20-roller across all HW models; magneto=18级 across all HW models (owner-specified Chinese term; use neutral high-output magneto in English public copy); gears=All gears, exact pattern not stated; reverse=No built-in reverse","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/products | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | repo:en/products.html | repo:js/latam-cg-products.js | repo:js/central-asia-data.js | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30","已解决：Hanwei、HW Water和CG Heavy为同一家族，通常使用HW Water；全部HW型号统一采用1.5 L机油容量、18级磁电机和20滚子离合器，且无内置倒挡。现有en/products中的内置倒挡表述以及18-pole英文表述仍需在后续内容实施中清理。","https://chixiangmotor.com/en/products | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/","Factory Technical Management","Site Owner","2026-07-30","2026-07-30","只批准HW家族级配置，不用于推断未知的型号级排量、缸径行程、安装尺寸或性能数值。中文事实源保留‘18级磁电机’，不得改写成‘18极’；英文公开文案使用中性的high-output magneto，不声称18-pole。"
"intake-automatic-clutch-water","FAMILY","Automatic-clutch water-cooled","","Automatic-Clutch Water-Cooled Engine Series","CG water-cooled automatic clutch | automatic centrifugal clutch","CG150 and CG175 water-cooled automatic-clutch family; parallel to the built-in-reverse family","","","","","Water-cooled","Electric start","Automatic centrifugal clutch","5-speed constant mesh","Separate family from built-in-reverse configurations","","Commercial motorcycles | cargo tricycles | utility vehicles; exact fit not verified","CG150 and CG175 only. Actual displacement follows the separately approved corresponding CG model; do not infer new model-level values, mounting or universal fit.","Not established","en/products=CG150/CG175 water-cooled automatic clutch; electric start; automatic centrifugal clutch; 5-speed | noindex product-detail=same family with enlarged oil capacity and cooling claims","family=Automatic-clutch water-cooled; models=CG150 and CG175 only; relationship=parallel to the built-in-reverse family; actual displacement=same as separately approved corresponding CG model; cooling=Water-cooled; start=Electric start; clutch=Automatic centrifugal clutch; gears=5-speed constant mesh; no new numeric model specifications approved","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/product-detail?series=auto-clutch | repo:en/products.html | repo:en/product-detail.html | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30","已确认CG150、CG175自动离合水冷系列与内置倒挡系列并列；不据此补写新的型号级数值。","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/cg-engine","Factory Technical Management","Site Owner","2026-07-30","2026-07-30","公开内容仅限CG150和CG175的家族范围、自动离合和并列关系；实际排量沿用对应CG型号的已批准事实，不另行推断数值。"
