"fact_id","category","field_name_zh","field_name_en","current_website_value","other_source_values","candidate_master_value","approved_public_wording_zh","approved_public_wording_en","evidence_status","approval_status","visibility","evidence_sources","conflict_summary","affected_pages","review_owner_role","approved_by","approved_date","last_verified","notes"
"quality-first-pass-yield","FACILITY","一次合格率","First-pass yield","99%","","99% first-pass yield","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29","官网一致使用99%，但未说明口径、产品范围、统计期间和质量记录。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Factory Quality Management","Site Owner","2026-07-29","2026-07-29","批准前不能扩展为所有产品或长期保证。 唯一审核人确认（2026-07-29）：保留当前值。"
"export-country-count","FACILITY","出口国家数量","Number of export countries","50+ countries（俄罗斯卧式发动机落地页）","英文官网只列举区域，未给数量","50+ countries","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/ | repo:ru/gorizontalnyj-dvigatel.html | repo:en/index.html | owner-confirmation:2026-07-29","数量仅出现在市场落地页，缺少国家清单、时间范围和成交定义。","https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Sales Management","Site Owner","2026-07-29","2026-07-29","应明确是历史发货国家、当前市场还是客户询盘覆盖。 唯一审核人确认（2026-07-29）：保留当前值。"
"certification-iso-9001","CERTIFICATION","ISO 9001认证","ISO 9001 certification","ISO 9001 Certified | ISO 9001-2000 Certified","About页只展示ISO图标和笼统质量管理说明","Company holds ISO 9001 quality management system certification; exact standard version and certificate details are outside the public claim","公司已通过 ISO 9001 质量管理体系认证。","ISO 9001 quality management system certified.","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30","官网曾同时使用ISO 9001和ISO 9001-2000两种版本措辞；唯一审核人批准只公开通用认证声明，不公开或推断具体版本、证书编号、主体、范围、签发机构和有效期。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel","Company Management | Quality Management","Site Owner","2026-07-30","2026-07-30","证书图片不进入Git，只记录受控证据编号。 唯一审核人确认（2026-07-30）：可以公开公司已通过ISO 9001认证；在证书资料补齐前不得公开或推断版本、编号、主体、范围、签发机构和有效期。"
"certification-ccc","CERTIFICATION","CCC认证","CCC certification","CCC Certified (China) | Product compliance support for engine manufacturing","","CCC-certified products are available; exact certificate number, certified product scope, subject and validity are outside the public claim","我们可提供具有 CCC 认证的产品。","CCC-certified products are available.","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29 | owner-confirmation:2026-07-30","唯一审核人批准公开存在CCC认证产品的通用声明；不得把认证泛化为全部型号，也不公开或推断证书编号、获证主体、具体产品范围和有效期。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Company Management | Quality Management","Site Owner","2026-07-30","2026-07-30","唯一审核人确认（2026-07-30）：可以公开存在CCC认证产品；在证书资料补齐前不得声称全部产品均获认证，也不得公开或推断编号、主体、适用型号和有效期。"
"capability-oem-odm","CAPABILITY","OEM/ODM能力","OEM and ODM capability","OEM/ODM customization; displacement, reverse gear, cooling type, packaging and market-specific configurations can be discussed","","OEM/ODM customization; displacement, reverse gear, cooling type, packaging and market-specific configurations can be discussed","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29","官网多处声明OEM/ODM，但可修改范围、MOQ、开发流程和知识产权边界未形成批准说明。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/products","Company Management | Factory Technical Management | Sales Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"capability-research-development","CAPABILITY","研发能力","Research and development capability","官网称具备OEM/ODM和市场配置支持","Made-in-China介绍包含摩托车汽油机技术开发与研究","OEM/ODM and market-configuration development support","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/about | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/about.html | owner-confirmation:2026-07-29","研发团队、设备、人员、专利和项目范围未形成证据清单。","https://chixiangmotor.com/en/about","Company Management | Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"capability-testing","CAPABILITY","检测与试验能力","Testing capability","Automated assembly line; two testing laboratories; two exhaust gas analyzers; eddy current dynamometers; pre-shipment testing","","Automated assembly line; two testing laboratories; two exhaust gas analyzers; eddy current dynamometers; pre-shipment testing","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29","设备和流程由官网描述及图片支持，但设备清单、校准、检测项目和适用范围未批准。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Factory Technical Management | Quality Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"capability-mixed-model-orders","CAPABILITY","混批能力","Mixed-model order capability","中亚页面公开2台样品、50台批量、100台混批和100台OEM政策","俄罗斯卧式页公开3台样品和40台正式订单政策","Mixed-model ordering is supported under market- and product-specific MOQ policies; Russia and Central Asia policies remain separate","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/ru/central-asia/ | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel | repo:ru/central-asia/index.html | repo:ru/gorizontalnyj-dvigatel.html | owner-confirmation:2026-07-29","不同市场页面的起订量和混批政策适用范围不同，不能合并成全局政策。","https://chixiangmotor.com/ru/central-asia/ | https://chixiangmotor.com/ru/gorizontalnyj-dvigatel","Sales Management","Site Owner","2026-07-29","2026-07-29","只记录能力存在，具体商业政策应另按市场和产品审核。 唯一审核人确认（2026-07-29）：保留当前值。"
"capability-engine-parts-support","CAPABILITY","发动机配件支持","Engine parts support","Complete engines can be supplied with fast-moving service parts; engine-parts page lists cylinder kits, clutch plates, magneto coils, valves, crankshafts and electrical components","","Complete engines can be supplied with selected fast-moving service parts; exact parts and compatibility require order confirmation","","","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/engine-parts | https://chixiangmotor.com/en/cg-engine | repo:en/engine-parts.html | repo:en/cg-engine.html | owner-confirmation:2026-07-29","官网支持配件供应方向，但真实库存、适配代码、交付范围和是否原厂件未建立可审核目录。","https://chixiangmotor.com/en/engine-parts | https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/colombia/","Sales Management | Parts Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"asset-official-logo","ASSET","官方Logo","Official logo","https://chixiangmotor.com/images/logo.webp","英文首页另一套Organization JSON-LD引用不存在的https://chixiangmotor.com/images/logo.png","https://chixiangmotor.com/images/logo.webp","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | repo:en/index.html | repo:images/logo.webp | owner-confirmation:2026-07-29","唯一审核人确认https://chixiangmotor.com/images/logo.webp为唯一批准Logo资产；不存在的logo.png引用应在后续页面变更中删除。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Brand Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：官网/当前：https://chixiangmotor.com/images/logo.webp就按照这个来其他删除，你看着弄"
"contact-official-website","CONTACT","官方网站","Official website","https://chixiangmotor.com","官网canonical统一为non-www域名","https://chixiangmotor.com","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/sitemap.xml | repo:sitemap.xml | owner-confirmation:2026-07-29","当前生产环境使用non-www主域；批准状态用于公司对外资料治理，不改变已部署canonical。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Company Management | Web Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前值。"
"contact-sales-email","CONTACT","销售邮箱","Sales email","chixiangmotor@163.com","","chixiangmotor@163.com","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29","网站多处一致显示；尚未在本事实包确认邮箱归属、收件责任和备用邮箱。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/contact","Sales Management","Site Owner","2026-07-29","2026-07-29","邮箱公开可见，但真实送达仍属于独立生产验收。 唯一审核人确认（2026-07-29）：保留当前值。"
"contact-business-phone","CONTACT","业务电话","Business phone","+86 19008225410","同一号码也用于WhatsApp","+86 19008225410","","","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | repo:en/index.html | repo:en/about.html | owner-confirmation:2026-07-29","网站多处一致显示；需要确认电话、WhatsApp和销售责任人的长期维护安排。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/contact","Sales Management","Site Owner","2026-07-29","2026-07-29","不在事实包记录联系人私人姓名。 唯一审核人确认（2026-07-29）：保留当前值。"
"profile-approved-short","PROFILE_COPY","批准的公司短介绍","Approved short company profile","Professional motorcycle engine manufacturer since 2003; CG, CB, horizontal, water-cooled and tricycle engines; OEM/ODM; factory direct supply","Made-in-China介绍称2007年成立并描述技术开发、制造加工和销售范围","Professional motorcycle engine manufacturer with industry experience since 2003; CG, CB, horizontal, water-cooled and tricycle engines; OEM/ODM; factory direct supply","驰翔摩托拥有自2003年以来的摩托车发动机行业经验，提供CG、CB、卧式、水冷及三轮车发动机，并支持OEM/ODM和工厂直供。","Chixiang Motor is a motorcycle engine manufacturer with industry experience since 2003, supplying CG, CB, horizontal, water-cooled and tricycle engines with OEM/ODM and factory-direct support.","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/ | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/index.html | owner-confirmation:2026-07-29","公司介绍保留原有产品与能力结构；成立时间措辞已按“2003年行业经验、2007年公司注册”统一。","https://chixiangmotor.com/en/ | https://chixiangmotor.com/en/about","Company Management | Brand Management","Site Owner","2026-07-29","2026-07-29","批准措辞应避免leading、global leader等无证据最高级。 唯一审核人确认（2026-07-29）：保留当前值。"
"profile-approved-long","PROFILE_COPY","批准的公司长介绍","Approved long company profile","Founded in 2003; headquartered in Hangu Town; motorcycle and cargo-tricycle engines and parts; automated assembly and testing; 8,000+ per month; 99% first-pass; export support","Made-in-China称2007年成立并列出Jiuli Village地址；官网内部还存在ISO版本和Logo引用差异","Industry experience since 2003; company registered in 2007; based in Hangu Town; motorcycle and cargo-tricycle engines and parts; automated assembly and testing; 8,000+ engines per month; 99% first-pass yield; export support","驰翔摩托自2003年起从事摩托车发动机行业，重庆驰翔摩托车制造有限公司于2007年注册，现位于重庆市九龙坡区含谷镇。公司生产摩托车及货运三轮车发动机和配件，配备自动化装配与检测能力，发动机月产能超过8,000台，一次合格率为99%，并为出口采购提供支持。","Chixiang Motor has worked in the motorcycle engine industry since 2003. Chongqing Chixiang Motorcycle Manufacturing Co., Ltd. was registered in 2007 and is now based in Hangu Town, Jiulongpo District, Chongqing. The company supplies motorcycle and cargo-tricycle engines and parts, supported by automated assembly and testing, monthly engine capacity of 8,000+ units, a 99% first-pass yield, and export support.","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/ | https://www.made-in-china.com/showroom/54ec637d2ca466df/ | repo:en/about.html | repo:en/index.html | owner-confirmation:2026-07-29","长介绍已根据唯一审核人决定统一成立时间、当前地址、产能与质量措辞，不再把2003年写成公司注册年份。","https://chixiangmotor.com/en/about | https://chixiangmotor.com/en/","Company Management | Brand Management | Factory Management","Site Owner","2026-07-29","2026-07-29","最终长介绍应只使用已分别批准的事实ID。 唯一审核人确认（2026-07-29）：保留当前值。"
