"Country","Language","Keyword","Local variation","Chinese meaning","Product","Vehicle/application","Intent","B2B/B2C","Funnel stage","Estimated demand level","Search-volume source","Proxy rationale","CPC/range","Competition","Channel","Match type","Ad group","Landing page","Keyword status","Ads Launch","Negative","Competitor term","Trademark risk","Evidence IDs","Confidence"
"Ecuador","Spanish","motor para tricimoto Ecuador","motor para tricimoto Ecuador","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto para carga","motor para tricimoto para carga","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto importador","motor para tricimoto importador","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para tricimoto catálogo","motor para tricimoto catálogo","三轮摩托车发动机","CG150 air-cooled","tricimoto","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro","motor para motocarro","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro para moto","motor para motocarro para moto","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro para trabajo","motor para motocarro para trabajo","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro al por mayor","motor para motocarro al por mayor","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro proveedor","motor para motocarro proveedor","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro distribuidor","motor para motocarro distribuidor","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro Ecuador","motor para motocarro Ecuador","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro para carga","motor para motocarro para carga","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro importador","motor para motocarro importador","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","motor para motocarro catálogo","motor para motocarro catálogo","货运三轮车发动机","CG150 air-cooled","motocarro","Application research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Cargo/Tricimoto Engine | Search","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-05","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150","repuestos motor CG150","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 para moto","repuestos motor CG150 para moto","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 para trabajo","repuestos motor CG150 para trabajo","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 al por mayor","repuestos motor CG150 al por mayor","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 proveedor","repuestos motor CG150 proveedor","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 distribuidor","repuestos motor CG150 distribuidor","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 Ecuador","repuestos motor CG150 Ecuador","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 para carga","repuestos motor CG150 para carga","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 importador","repuestos motor CG150 importador","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG150 catálogo","repuestos motor CG150 catálogo","CG150发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200","repuestos motor CG200","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 para moto","repuestos motor CG200 para moto","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 para trabajo","repuestos motor CG200 para trabajo","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 al por mayor","repuestos motor CG200 al por mayor","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 proveedor","repuestos motor CG200 proveedor","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 distribuidor","repuestos motor CG200 distribuidor","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 Ecuador","repuestos motor CG200 Ecuador","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 para carga","repuestos motor CG200 para carga","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 importador","repuestos motor CG200 importador","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","repuestos motor CG200 catálogo","repuestos motor CG200 catálogo","CG200发动机零件","Engine parts / spares pack","after-sales","Parts","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Parts Wholesale | Search/SEO","/es/ecuador/","Raw candidate","NOT APPROVED","No","No","None","P4-EC-02,P4-EC-03,P4-EC-04","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG","proveedor motores CG","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG para moto","proveedor motores CG para moto","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG para trabajo","proveedor motores CG para trabajo","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG al por mayor","proveedor motores CG al por mayor","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG proveedor","proveedor motores CG proveedor","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","B2B/unknown","Commercial research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Retained","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
"Ecuador","Spanish","proveedor motores CG distribuidor","proveedor motores CG distribuidor","CG发动机供应商","CG150 air-cooled","B2B","Supplier research","Research","Research","Medium","PROXY DATA","Marketplace/channel and local terminology proxy; no volume/CPC","","Unknown","Google Search","Phrase","EC | Replacement Engine | Search","/es/ecuador/","Research only","NOT APPROVED","No","No","None","P4-EC-01,P4-EC-03","Observed/machine review required"
