keyword,language,country,market,cluster,intent,serp_intent,business_value,buyer_stage,current_owner_url,current_position,current_impressions,competition_type,recommended_action,proposed_url,cannibalization_risk,first_party_evidence_needed,priority,confidence,source,notes
"motor cb fabricante / proveedor","es","LATAM","Spanish LatAm","CB","commercial-B2B","commercial","medium","Q4","/es/motor-cb","","","china-directory","OPTIMIZE_EXISTING","","low","factory","P2","medium","SERP_observed_non_geo",""
"motor horizontal para motocicleta","es","LATAM","Spanish LatAm","Horizontal","commercial","commercial-motorcycle","medium","Q3-Q4","/es/motor-horizontal","","","marketplace+industrial-mix","OPTIMIZE_EXISTING","","medium","application photo","P2","medium","SERP_observed_non_geo","keep para motocicleta qualifier"
"motores horizontales","es","LATAM","Spanish LatAm","Horizontal","ambiguous","mixed-industrial-agri","low","unknown","","40.1","58","industrial-general","NO_ACTION","","high","","P2","medium","GSC_supplied+SERP_observed_non_geo","QUERY-LEVEL ~58 imp / ~pos 40.1 (NOT the /es/motor-horizontal PAGE ~pos 38.1; do not conflate); intent ambiguity; do not force into motorcycle page"
"motor horizontal 110 / 125 / 150cc","es","LATAM","Spanish LatAm","Horizontal","commercial","mixed","low-medium","Q2-Q3","/es/motor-horizontal","","","marketplace","OPTIMIZE_EXISTING","","medium","","WATCH","low","SERP_observed_non_geo",""
"como elegir un motor cg","es","LATAM","Spanish LatAm","CG","informational","informational","medium","Q2-Q3","/es/motor-cg","","","video+forum","CREATE_SUPPORT_CONTENT","/es/guia/que-es-un-motor-cg/","medium","selection guide","P2","low","SERP_observed_non_geo","SAME INTENT CLUSTER / MERGED INTO ES-G1 (built in Wave 1)"
"comprar motores de moto al por mayor china","es","LATAM","Spanish LatAm","Authority","informational-commercial","mixed","medium","Q4","/es/about","","","exporter+publisher","CREATE_SUPPORT_CONTENT","/es/guia/comprar-motores-china/","low","factory + logistics evidence","P2","low","inference","ES counterpart of EN procurement guide"
"motor cg china republica dominicana","es","DO","Spanish LatAm","Market","commercial-B2B","commercial-localized","high","Q4-Q5","/es/motor-cg","","","national-distributor+brand","CREATE_MARKET_PAGE","/es/republica-dominicana/","high","local-distribution + factory","P1","medium","SERP_OBSERVED_non_geo","MARKET OPPORTUNITY (SERP phrase) not a proven search query; volume/position UNKNOWN until GSC country x query; CREATE-CONDITIONAL; distinct importer angle; cannibalizes motor-cg/peru/colombia"
"motor cg 200cc china dominicana","es","DO","Spanish LatAm","CG","commercial","commercial","medium","Q4","/es/peru","","","marketplace","WATCH","","medium","","WATCH","low","SERP_observed_non_geo","fold into DR decision"
"motor cg colombia","es","CO","Spanish LatAm","Market","commercial","commercial-localized","medium","Q3-Q4","/es/colombia/","","","national-distributor","OPTIMIZE_EXISTING","","medium","localization proof","P2","medium","repo_observed","existing page: fix empty H1 + depth, do not clone"
"motor cg peru / trimotos de carga","es","PE","Spanish LatAm","Market","commercial","commercial-localized","medium","Q3-Q4","/es/peru/","","","national-distributor","OPTIMIZE_EXISTING","","medium","localization proof","P2","medium","repo_observed","existing page: fix empty H1 + depth"
"mexico market","es","MX","Spanish LatAm","Market","unknown","unknown","unknown","unknown","","","","","WATCH","","high","none","WATCH","low","inference","no distinct evidence yet; do not build speculatively"
"bolivia / ecuador / chile / nicaragua","es","BO/EC/CL/NI","Spanish LatAm","Market","unknown","unknown","unknown","unknown","","","","","WATCH","","high","none","WATCH","low","inference","GSC country signals exist but not quantified; needs GSC by country"
"motor para moto","pt","BR","Brazil-Portuguese","generic","commercial","mixed-consumer","medium","Q2-Q3","/pt/","","","retail+marketplace","OPTIMIZE_EXISTING","","low","","P2","medium","SERP_observed_non_geo","generic moto angle, not CG-specific"
"motor cg 150 / cg titan","pt","BR","Brazil-Portuguese","CG","commercial","consumer-replacement-Honda","low-B2B","Q0-Q2","/pt/motor-cg","","","retail(MercadoLivre/OLX/CasasBahia)","NO_ACTION","","low(n/a)","none","P2","medium","SERP_observed_non_geo","HONDA CG trademark entanglement + consumer intent; not B2B importer demand"
"motor cg vs cb","pt","BR","Brazil-Portuguese","CB-CG","informational","informational","medium","Q2-Q3","/pt/motor-cg","","","video+forum","CREATE_SUPPORT_CONTENT","/pt/guia/motor-cg-vs-motor-cb/","medium","comparison","P2","low","SERP_observed_non_geo","only if PT demand confirmed; avoid Honda framing"
"motor para moto no atacado","pt","BR","Brazil-Portuguese","generic","commercial-B2B","mixed-marketplace","medium","Q3-Q5","/pt/","","","marketplace+distributor","OPTIMIZE_EXISTING","","low","factory + OEM proof","P1","medium","SERP_observed_non_geo","Brazilian Portuguese (replaced Spanish por mayor); VOLUME UNKNOWN not proven; not the Honda-CG consumer angle"
"importar motores de moto da china","pt","BR","Brazil-Portuguese","Authority","informational-commercial","mixed","medium","Q4","/pt/about","","","exporter","CREATE_SUPPORT_CONTENT","/pt/guia/importar-motores-da-china/","low","factory + logistics","P1","medium","SERP_observed_non_geo","PT procurement/import guide (Brazilian Portuguese, not translated)"
"motor horizontal para moto / 150cc","pt","BR","Brazil-Portuguese","Horizontal","commercial","commercial-motorcycle","medium-high","Q3-Q4","/pt/motor-horizontal","","","marketplace(Loncin-type)","OPTIMIZE_EXISTING","","medium","application photo","P1","medium","SERP_observed_non_geo","PAGE SIGNAL: /pt/motor-horizontal ~7 impressions / ~pos 9.6; QUERY-SPECIFIC SIGNAL = UNKNOWN; strongest PT product angle (moto + triciclo de carga)"
"pecas de motor de moto por atacado","pt","BR","Brazil-Portuguese","Parts","commercial","local-distributor","medium","Q3","/pt/pecas-de-motor","","","national-distributor","OPTIMIZE_EXISTING","","low","parts + importer proof","P2","medium","SERP_observed_non_geo","local distributors dominate; reframe to China-sourcing importers"
"brasil country page","pt","BR","Brazil-Portuguese","Market","unknown","unknown","unknown","unknown","","","","local","NO_ACTION","/pt/brasil/","high","none","WATCH","low","inference+NEEDS_EVIDENCE","build only after Brazil GSC shows distinct country intent; no clone for market size alone"
