page_id,url,source_file,language,page_type,entity_owner,change_class,source_fact_ids,current_claims,approved_replacement,translation_status,tracking_risk,form_risk,visual_risk,tests,preview_desktop,preview_mobile,decision,notes
en-contact,https://chixiangmotor.com/en/contact,en/contact.html,en,contact,Chixiang Motor,FACT_FIX,contact-sales-email|contact-business-phone|identity-brand-name|profile-approved-short,Contact and footer identity need fact alignment,Keep inquiry form behavior and align only visible identity and contact copy,SOURCE,HIGH,HIGH,MEDIUM,geo alignment|form regression|visual,outputs/phase-6-1b-preview/en/en__contact--desktop.png,outputs/phase-6-1b-preview/en/en__contact--mobile.png,CHANGED,Protected form and tracking logic
en-parts,https://chixiangmotor.com/en/engine-parts,en/engine-parts.html,en,product_family,Engine parts support,VERIFY_ONLY,capability-engine-parts-support|capability-oem-odm|capability-mixed-model-orders,Parts support is present but entity relation is weak,Clarify B2B engine parts support without compatibility guarantees,SOURCE,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/en/en__engine-parts--desktop.png,outputs/phase-6-1b-preview/en/en__engine-parts--mobile.png,VERIFIED_NO_CHANGE,No universal fit claim
en-horizontal,https://chixiangmotor.com/en/horizontal-engine,en/horizontal-engine.html,en,product_family,Horizontal engine,OWNER_ENHANCEMENT,model-153fmi|model-154fmi|model-1p56fmj,Horizontal range includes unresolved 152FMH mapping,Publish only approved family facts and retain 152FMH as pending,SOURCE,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/en/en__horizontal-engine--desktop.png,outputs/phase-6-1b-preview/en/en__horizontal-engine--mobile.png,CHANGED,Restored the existing WebP hero asset; do not infer 152FMH displacement
en-procurement-guide,https://chixiangmotor.com/en/how-to-choose-motorcycle-engine-manufacturer-china,en/how-to-choose-motorcycle-engine-manufacturer-china.html,en,guide,Manufacturer selection,OWNER_ENHANCEMENT,profile-approved-long|capability-oem-odm|capability-testing|capability-engine-parts-support|certification-iso-9001|certification-ccc,Guide trust claims need approved evidence boundaries,Align manufacturer selection guidance with approved Chixiang facts,SOURCE,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/en/en__how-to-choose-motorcycle-engine-manufacturer-china--desktop.png,outputs/phase-6-1b-preview/en/en__how-to-choose-motorcycle-engine-manufacturer-china--mobile.png,CHANGED,No certificate numbers or scopes
en-home,https://chixiangmotor.com/en/,en/index.html,en,home,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-short|history-founded-year|capacity-monthly-engines|export-country-count|identity-brand-name|asset-official-logo|certification-iso-9001|product-current-supply-scope,Homepage mixed brand summary with detailed About facts and presented complete motorcycles as current supply,Use one visible manufacturer H1 current engine-family routes compact approved trust proof and links to About Products and inquiry owners,SOURCE,LOW,NONE,HIGH,english owner contract|JSON-LD parse|analytics preservation|visual 390 768 1024 1440,outputs/phase-6-1b-preview/en/en--desktop.png,outputs/phase-6-1b-preview/en/en--mobile.png,CHANGED,No redesign; Organization WebSite and WebPage schema are explicitly authorized by the later 2026-07-30 English owner-page design
en-news,https://chixiangmotor.com/en/news,en/news.html,en,news,Chixiang Motor,FACT_FIX,history-founded-year|identity-brand-name|asset-official-logo,News shell contains shared company identity,Align shared company and footer facts only,SOURCE,LOW,NONE,LOW,geo alignment|visual,outputs/phase-6-1b-preview/en/en__news--desktop.png,outputs/phase-6-1b-preview/en/en__news--mobile.png,CHANGED,No editorial expansion
en-products,https://chixiangmotor.com/en/products,en/products.html,en,product_catalog,Motorcycle engine portfolio,OWNER_ENHANCEMENT,intake-cg-balance-shaft|intake-tsunami-water|intake-hanwei-hw-water|intake-automatic-clutch-water|capability-engine-parts-support|product-current-supply-scope|roadmap-motorcycle-ckd-skd,Catalog mixed current engines with complete tricycle and motorcycle vehicle offers and routed canonical families through noindex utilities,Remove the complete-tricycle offer route current families to canonical owners and publish one non-commercial future motorcycle CKD/SKD status card,SOURCE,LOW,NONE,HIGH,english owner contract|JSON-LD parse|analytics preservation|visual 390 768 1024 1440,outputs/phase-6-1b-preview/en/en__products--desktop.png,outputs/phase-6-1b-preview/en/en__products--mobile.png,CHANGED,Future program has no quote MOQ price date Product or Offer schema; CollectionPage and ItemList are explicitly authorized by the later 2026-07-30 English owner-page design
es-contact,https://chixiangmotor.com/es/contacto,es/contacto.html,es,contact,Chixiang Motor,FACT_FIX,contact-sales-email|contact-business-phone|identity-brand-name|profile-approved-short,Contact and footer identity need fact alignment,Keep inquiry form behavior and align only visible identity and contact copy,NEEDS_REVIEW,HIGH,HIGH,MEDIUM,geo alignment|form regression|visual,outputs/phase-6-1b-preview/es/es__contacto--desktop.png,outputs/phase-6-1b-preview/es/es__contacto--mobile.png,CHANGED,Protected form and tracking logic
es-home,https://chixiangmotor.com/es/,es/index.html,es,home,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-short|history-founded-year|identity-brand-name|asset-official-logo|certification-iso-9001|certification-ccc,Homepage identity and trust wording are inconsistent,Use approved company timeline brand logo and bounded certification wording,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/es/es--desktop.png,outputs/phase-6-1b-preview/es/es--mobile.png,CHANGED,No design redesign
es-cb,https://chixiangmotor.com/es/motor-cb,es/motor-cb.html,es,product_family,CB engine,FACT_FIX,model-cb150|model-cb200-c|model-cb250,CB specifications plus shared company footer,Keep approved CB models and align shared company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/es/es__motor-cb--desktop.png,outputs/phase-6-1b-preview/es/es__motor-cb--mobile.png,CHANGED,No new CB models
es-cg,https://chixiangmotor.com/es/motor-cg,es/motor-cg.html,es,product_family,CG engine,OWNER_ENHANCEMENT,model-cg125|model-cg150|model-cg175|model-cg200|model-cg250|intake-cg-balance-shaft|intake-tsunami-water|intake-automatic-clutch-water,CG model content lacks approved family distinctions,Add bounded CG gear and family positioning without new numeric specifications,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/es/es__motor-cg--desktop.png,outputs/phase-6-1b-preview/es/es__motor-cg--mobile.png,CHANGED,Keep model values tied to approved records
es-horizontal,https://chixiangmotor.com/es/motor-horizontal,es/motor-horizontal.html,es,product_family,Horizontal engine,FACT_FIX,model-153fmi|model-154fmi|model-1p56fmj,Horizontal range includes unresolved 152FMH mapping,Publish only approved family facts and retain 152FMH as pending,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/es/es__motor-horizontal--desktop.png,outputs/phase-6-1b-preview/es/es__motor-horizontal--mobile.png,CHANGED,Do not infer 152FMH displacement
es-parts,https://chixiangmotor.com/es/repuestos-motor,es/repuestos-motor.html,es,product_family,Engine parts support,OWNER_ENHANCEMENT,capability-engine-parts-support|capability-oem-odm|capability-mixed-model-orders,Parts support is present but entity relation is weak,Clarify B2B engine parts support without compatibility guarantees,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/es/es__repuestos-motor--desktop.png,outputs/phase-6-1b-preview/es/es__repuestos-motor--mobile.png,CHANGED,No universal fit claim
pt-contact,https://chixiangmotor.com/pt/contato,pt/contato.html,pt,contact,Chixiang Motor,FACT_FIX,contact-sales-email|contact-business-phone|identity-brand-name|profile-approved-short,Contact and footer identity need fact alignment,Keep inquiry form behavior and align only visible identity and contact copy,NEEDS_REVIEW,HIGH,HIGH,MEDIUM,geo alignment|form regression|visual,outputs/phase-6-1b-preview/pt/pt__contato--desktop.png,outputs/phase-6-1b-preview/pt/pt__contato--mobile.png,CHANGED,Protected form and tracking logic
pt-home,https://chixiangmotor.com/pt/,pt/index.html,pt,home,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-short|history-founded-year|identity-brand-name|asset-official-logo|certification-iso-9001|certification-ccc,Homepage identity and trust wording are inconsistent,Use approved company timeline brand logo and bounded certification wording,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt--desktop.png,outputs/phase-6-1b-preview/pt/pt--mobile.png,CHANGED,No design redesign
pt-cb,https://chixiangmotor.com/pt/motor-cb,pt/motor-cb.html,pt,product_family,CB engine,FACT_FIX,model-cb150|model-cb200-c|model-cb250,CB specifications plus shared company footer,Keep approved CB models and align shared company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__motor-cb--desktop.png,outputs/phase-6-1b-preview/pt/pt__motor-cb--mobile.png,CHANGED,No new CB models
pt-cg,https://chixiangmotor.com/pt/motor-cg,pt/motor-cg.html,pt,product_family,CG engine,OWNER_ENHANCEMENT,model-cg125|model-cg150|model-cg175|model-cg200|model-cg250|intake-cg-balance-shaft|intake-tsunami-water|intake-automatic-clutch-water,CG model content lacks approved family distinctions,Add bounded CG gear and family positioning without new numeric specifications,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__motor-cg--desktop.png,outputs/phase-6-1b-preview/pt/pt__motor-cg--mobile.png,CHANGED,Keep model values tied to approved records
pt-horizontal,https://chixiangmotor.com/pt/motor-horizontal,pt/motor-horizontal.html,pt,product_family,Horizontal engine,FACT_FIX,model-153fmi|model-154fmi|model-1p56fmj,Horizontal range includes unresolved 152FMH mapping,Publish only approved family facts and retain 152FMH as pending,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__motor-horizontal--desktop.png,outputs/phase-6-1b-preview/pt/pt__motor-horizontal--mobile.png,CHANGED,Do not infer 152FMH displacement
pt-parts,https://chixiangmotor.com/pt/pecas-de-motor,pt/pecas-de-motor.html,pt,product_family,Engine parts support,OWNER_ENHANCEMENT,capability-engine-parts-support|capability-oem-odm|capability-mixed-model-orders,Parts support is present but entity relation is weak,Clarify B2B engine parts support without compatibility guarantees,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__pecas-de-motor--desktop.png,outputs/phase-6-1b-preview/pt/pt__pecas-de-motor--mobile.png,CHANGED,No universal fit claim
ru-cb,https://chixiangmotor.com/ru/dvigatel-cb,ru/dvigatel-cb.html,ru,product_family,CB engine,FACT_FIX,model-cb150|model-cb200-c|model-cb250,CB specifications plus shared company footer,Keep approved CB models and align shared company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__dvigatel-cb--desktop.png,outputs/phase-6-1b-preview/ru/ru__dvigatel-cb--mobile.png,CHANGED,No new CB models
ru-cg,https://chixiangmotor.com/ru/dvigatel-cg,ru/dvigatel-cg.html,ru,product_family,CG engine,OWNER_ENHANCEMENT,model-cg125|model-cg150|model-cg175|model-cg200|model-cg250|intake-cg-balance-shaft|intake-tsunami-water|intake-automatic-clutch-water,CG model content lacks approved family distinctions,Add bounded CG gear and family positioning without new numeric specifications,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__dvigatel-cg--desktop.png,outputs/phase-6-1b-preview/ru/ru__dvigatel-cg--mobile.png,CHANGED,Keep model values tied to approved records
ru-horizontal-market,https://chixiangmotor.com/ru/gorizontalnyj-dvigatel,ru/gorizontalnyj-dvigatel.html,ru,market_landing,Horizontal engine Russia,FACT_FIX,model-153fmi|model-154fmi|model-1p56fmj|capability-mixed-model-orders|contact-sales-email,Advertising page contains unresolved model and contact assertions,Preserve conversion path and publish only approved models MOQ policy and contact order,NEEDS_REVIEW,HIGH,HIGH,HIGH,geo alignment|form regression|tracking regression|visual,outputs/phase-6-1b-preview/ru/ru__gorizontalnyj-dvigatel--desktop.png,outputs/phase-6-1b-preview/ru/ru__gorizontalnyj-dvigatel--mobile.png,CHANGED,152FMH remains visible only where not assigned an unapproved displacement
ru-home,https://chixiangmotor.com/ru/,ru/index.html,ru,home,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-short|history-founded-year|identity-brand-name|asset-official-logo|certification-iso-9001|certification-ccc,Homepage identity and trust wording are inconsistent,Use approved company timeline brand logo and bounded certification wording,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru--desktop.png,outputs/phase-6-1b-preview/ru/ru--mobile.png,CHANGED,No design redesign
ru-contact,https://chixiangmotor.com/ru/kontakty,ru/kontakty.html,ru,contact,Chixiang Motor,FACT_FIX,contact-sales-email|contact-business-phone|identity-brand-name|profile-approved-short,Contact and footer identity need fact alignment,Keep inquiry form behavior and align only visible identity and contact copy,NEEDS_REVIEW,HIGH,HIGH,MEDIUM,geo alignment|form regression|visual,outputs/phase-6-1b-preview/ru/ru__kontakty--desktop.png,outputs/phase-6-1b-preview/ru/ru__kontakty--mobile.png,CHANGED,Protected form and tracking logic
ru-parts,https://chixiangmotor.com/ru/zapchasti-dvigatelya,ru/zapchasti-dvigatelya.html,ru,product_family,Engine parts support,OWNER_ENHANCEMENT,capability-engine-parts-support|capability-oem-odm|capability-mixed-model-orders,Parts support is present but entity relation is weak,Clarify B2B engine parts support without compatibility guarantees,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__zapchasti-dvigatelya--desktop.png,outputs/phase-6-1b-preview/ru/ru__zapchasti-dvigatelya--mobile.png,CHANGED,No universal fit claim
es-products,https://chixiangmotor.com/es/products,es/products.html,es,product_catalog,Motorcycle engine portfolio,OWNER_ENHANCEMENT,intake-cg-balance-shaft|intake-tsunami-water|intake-hanwei-hw-water|intake-automatic-clutch-water|capability-engine-parts-support,Catalog needs synchronized family ownership,Align four approved family records and keep unknown model specifications blank,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/es/es__products--desktop.png,outputs/phase-6-1b-preview/es/es__products--mobile.png,CHANGED,Translation synced from English fact source
pt-products,https://chixiangmotor.com/pt/products,pt/products.html,pt,product_catalog,Motorcycle engine portfolio,OWNER_ENHANCEMENT,intake-cg-balance-shaft|intake-tsunami-water|intake-hanwei-hw-water|intake-automatic-clutch-water|capability-engine-parts-support,Catalog needs synchronized family ownership,Align four approved family records and keep unknown model specifications blank,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__products--desktop.png,outputs/phase-6-1b-preview/pt/pt__products--mobile.png,CHANGED,Translation synced from English fact source
ru-products,https://chixiangmotor.com/ru/products,ru/products.html,ru,product_catalog,Motorcycle engine portfolio,OWNER_ENHANCEMENT,intake-cg-balance-shaft|intake-tsunami-water|intake-hanwei-hw-water|intake-automatic-clutch-water|capability-engine-parts-support,Catalog needs synchronized family ownership,Align four approved family records and keep unknown model specifications blank,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__products--desktop.png,outputs/phase-6-1b-preview/ru/ru__products--mobile.png,CHANGED,Translation synced from English fact source
ar-products,https://chixiangmotor.com/ar/products,ar/products.html,ar,product_catalog,Motorcycle engine portfolio,OWNER_ENHANCEMENT,intake-cg-balance-shaft|intake-tsunami-water|intake-hanwei-hw-water|intake-automatic-clutch-water|capability-engine-parts-support,Catalog needs synchronized family ownership,Align four approved family records and keep unknown model specifications blank,NEEDS_REVIEW,LOW,NONE,HIGH,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__products--desktop.png,outputs/phase-6-1b-preview/ar/ar__products--mobile.png,CHANGED,Translation synced from English fact source
es-about,https://chixiangmotor.com/es/about,es/about.html,es,about,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-long|history-founded-year|address-factory|facility-employee-count|certification-iso-9001|certification-ccc|asset-official-logo,Company founded date and identity claims need reconciliation,State industry experience since 2003 and company registration in 2007 plus approved company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/es/es__about--desktop.png,outputs/phase-6-1b-preview/es/es__about--mobile.png,CHANGED,Primary translated company page
pt-about,https://chixiangmotor.com/pt/about,pt/about.html,pt,about,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-long|history-founded-year|address-factory|facility-employee-count|certification-iso-9001|certification-ccc|asset-official-logo,Company founded date and identity claims need reconciliation,State industry experience since 2003 and company registration in 2007 plus approved company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__about--desktop.png,outputs/phase-6-1b-preview/pt/pt__about--mobile.png,CHANGED,Primary translated company page
ru-about,https://chixiangmotor.com/ru/about,ru/about.html,ru,about,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-long|history-founded-year|address-factory|facility-employee-count|certification-iso-9001|certification-ccc|asset-official-logo,Company founded date and identity claims need reconciliation,State industry experience since 2003 and company registration in 2007 plus approved company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__about--desktop.png,outputs/phase-6-1b-preview/ru/ru__about--mobile.png,CHANGED,Primary translated company page
ar-about,https://chixiangmotor.com/ar/about,ar/about.html,ar,about,Chixiang Motor,OWNER_ENHANCEMENT,profile-approved-long|history-founded-year|address-factory|facility-employee-count|certification-iso-9001|certification-ccc|asset-official-logo,Company founded date and identity claims need reconciliation,State industry experience since 2003 and company registration in 2007 plus approved company facts,NEEDS_REVIEW,LOW,NONE,MEDIUM,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__about--desktop.png,outputs/phase-6-1b-preview/ar/ar__about--mobile.png,CHANGED,Primary translated company page
es-news,https://chixiangmotor.com/es/news,es/news.html,es,news,Chixiang Motor,FACT_FIX,history-founded-year|identity-brand-name|asset-official-logo,News shell contains shared company identity,Align shared company and footer facts only,NEEDS_REVIEW,LOW,NONE,LOW,geo alignment|visual,outputs/phase-6-1b-preview/es/es__news--desktop.png,outputs/phase-6-1b-preview/es/es__news--mobile.png,CHANGED,No editorial expansion
pt-news,https://chixiangmotor.com/pt/news,pt/news.html,pt,news,Chixiang Motor,FACT_FIX,history-founded-year|identity-brand-name|asset-official-logo,News shell contains shared company identity,Align shared company and footer facts only,NEEDS_REVIEW,LOW,NONE,LOW,geo alignment|visual,outputs/phase-6-1b-preview/pt/pt__news--desktop.png,outputs/phase-6-1b-preview/pt/pt__news--mobile.png,CHANGED,No editorial expansion
ru-news,https://chixiangmotor.com/ru/news,ru/news.html,ru,news,Chixiang Motor,FACT_FIX,history-founded-year|identity-brand-name|asset-official-logo,News shell contains shared company identity,Align shared company and footer facts only,NEEDS_REVIEW,LOW,NONE,LOW,geo alignment|visual,outputs/phase-6-1b-preview/ru/ru__news--desktop.png,outputs/phase-6-1b-preview/ru/ru__news--mobile.png,CHANGED,No editorial expansion
ar-news,https://chixiangmotor.com/ar/news,ar/news.html,ar,news,Chixiang Motor,FACT_FIX,history-founded-year|identity-brand-name|asset-official-logo,News shell contains shared company identity,Align shared company and footer facts only,NEEDS_REVIEW,LOW,NONE,LOW,geo alignment|visual,outputs/phase-6-1b-preview/ar/ar__news--desktop.png,outputs/phase-6-1b-preview/ar/ar__news--mobile.png,CHANGED,No editorial expansion
ru-russia,https://chixiangmotor.com/ru/russia/,ru/russia/index.html,ru,market_landing,Russia market,VERIFY_ONLY,profile-approved-short|capability-mixed-model-orders|contact-sales-email|identity-brand-name,Market page needs entity ownership and approved B2B policy wording,Strengthen factory identity and keep B2B qualification without changing conversion behavior,NEEDS_REVIEW,HIGH,HIGH,HIGH,geo alignment|form regression|tracking regression|visual,outputs/phase-6-1b-preview/ru/ru__russia--desktop.png,outputs/phase-6-1b-preview/ru/ru__russia--mobile.png,VERIFIED_NO_CHANGE,Preserve Yandex and Google measurement
ru-central-asia,https://chixiangmotor.com/ru/central-asia/,ru/central-asia/index.html,ru,market_landing,Central Asia market,FACT_FIX,intake-tsunami-water|intake-hanwei-hw-water|capability-mixed-model-orders|contact-sales-email,Market product data uses CG Heavy and mixed HW rules,Use HW Water owner name with approved family configuration and no built-in reverse,NEEDS_REVIEW,HIGH,HIGH,HIGH,geo alignment|form regression|tracking regression|visual,outputs/phase-6-1b-preview/ru/ru__central-asia--desktop.png,outputs/phase-6-1b-preview/ru/ru__central-asia--mobile.png,CHANGED,Do not claim universal Central Asia demand
es-peru,https://chixiangmotor.com/es/peru/,es/peru/index.html,es,market_landing,Peru market,FACT_FIX,model-cg150sb|model-cg175sb|model-cg200sb|model-cg250sb|intake-hanwei-hw-water|capability-mixed-model-orders,Market data contains CG150B typo and inconsistent HW reverse,Use CG150SB and approved HW family configuration while preserving inquiry flow,NEEDS_REVIEW,HIGH,HIGH,HIGH,geo alignment|form regression|tracking regression|visual,outputs/phase-6-1b-preview/es/es__peru--desktop.png,outputs/phase-6-1b-preview/es/es__peru--mobile.png,CHANGED,Keep B2B positioning and existing design
es-colombia,https://chixiangmotor.com/es/colombia/,es/colombia/index.html,es,market_landing,Colombia market,FACT_FIX,model-cg150sb|model-cg175sb|model-cg200sb|model-cg250sb|intake-hanwei-hw-water|capability-mixed-model-orders,Market data shares Latin America product records with Peru,Use CG150SB and approved HW family configuration while preserving distributor inquiry flow,NEEDS_REVIEW,HIGH,HIGH,HIGH,geo alignment|form regression|tracking regression|visual,outputs/phase-6-1b-preview/es/es__colombia--desktop.png,outputs/phase-6-1b-preview/es/es__colombia--mobile.png,CHANGED,Do not claim verified national demand
